Coeff name,Lower bound,Upper bound
m1,3,4
m2,0.5,1
m3,0.8,1.5
c1x,-0.0005,0.0015
c1y,-0.15,-0.07
c1z,0.001,0.003
c2x,-0.1,-0.06
c2y,-0.0005,0.0015
c2z,0.001,0.003
c3x,-0.08,-0.04
c3y,0.001,0.003
c3z,0.002,0.004
I1xx,0,0.1
I1xy,-0.1,0.1
I1xz,-0.1,0.1
I1yy,0,0.1
I1yz,-0.1,0.1
I1zz,0,0.1
I2xx,0,0.1
I2xy,-0.1,0.1
I2xz,-0.1,0.1
I2yy,0,0.1
I2yz,-0.1,0.1
I2zz,0,0.1
I3xx,0,0.1
I3xy,-0.1,0.1
I3xz,-0.1,0.1
I3yy,0,0.1
I3yz,-0.1,0.1
I3zz,0,0.1
